       2 :        2 - primesum
    2393 :   393961 - primesum
    2399 :   396360
    2411 :   398771 - primesum
    2417 :   401188
    2423 :   403611
    2437 :   406048
    2441 :   408489
    2447 :   410936
    2459 :   413395
    2467 :   415862
    2473 :   418335
    2477 :   420812
    2503 :   423315
    2521 :   425836
    2531 :   428367
    2539 :   430906
    2543 :   433449
    2549 :   435998
    2551 :   438549
    2557 :   441106
    2579 :   443685
    2591 :   446276
    2593 :   448869
    2609 :   451478
    2617 :   454095
    2621 :   456716
    2633 :   459349
    2647 :   461996
    2657 :   464653
    2659 :   467312
    2663 :   469975
    2671 :   472646
    2677 :   475323
    2683 :   478006
    2687 :   480693
    2689 :   483382
    2693 :   486075
    2699 :   488774
    2707 :   491481
    2711 :   494192
    2713 :   496905
    2719 :   499624
    2729 :   502353
    2731 :   505084
    2741 :   507825
    2749 :   510574
    2753 :   513327
    2767 :   516094
    2777 :   518871
    2789 :   521660
    2791 :   524451
    2797 :   527248
    2801 :   530049
    2803 :   532852
    2819 :   535671
    2833 :   538504
    2837 :   541341
    2843 :   544184
    2851 :   547035
    2857 :   549892
    2861 :   552753
    2879 :   555632
    2887 :   558519
    2897 :   561416
    2903 :   564319
    2909 :   567228
    2917 :   570145
    2927 :   573072
    2939 :   576011
    2953 :   578964
    2957 :   581921 - primesum
    2963 :   584884
    2969 :   587853
    2971 :   590824
    2999 :   593823
    3001 :   596824
    3011 :   599835
    3019 :   602854
    3023 :   605877
    3037 :   608914
    3041 :   611955
    3049 :   615004
    3061 :   618065
    3067 :   621132
    3079 :   624211
    3083 :   627294
    3089 :   630383
    3109 :   633492
    3119 :   636611
    3121 :   639732
    3137 :   642869 - primesum
    3163 :   646032
    3167 :   649199
    3169 :   652368
    3181 :   655549
    3187 :   658736
    3191 :   661927
    3203 :   665130
    3209 :   668339
    3217 :   671556
    3221 :   674777
    3229 :   678006
    3251 :   681257 - primesum
    3253 :   684510
    3257 :   687767 - primesum
    3259 :   691026
    3271 :   694297
    3299 :   697596
    3301 :   700897 - primesum
    3307 :   704204
    3313 :   707517
    3319 :   710836
    3323 :   714159
    3329 :   717488
    3331 :   720819
    3343 :   724162
    3347 :   727509
    3359 :   730868
    3361 :   734229
    3371 :   737600
    3373 :   740973
    3389 :   744362
    3391 :   747753
    3407 :   751160
    3413 :   754573 - primesum
    3433 :   758006
    3449 :   761455
    3457 :   764912
    3461 :   768373 - primesum
    3463 :   771836
    3467 :   775303
    3469 :   778772
    3491 :   782263 - primesum
    3499 :   785762
    3511 :   789273
    3517 :   792790
    3527 :   796317
    3529 :   799846
    3533 :   803379
    3539 :   806918
    3541 :   810459
    3547 :   814006
    3557 :   817563
    3559 :   821122
    3571 :   824693
    3581 :   828274
    3583 :   831857
    3593 :   835450
    3607 :   839057
    3613 :   842670
    3617 :   846287
    3623 :   849910
    3631 :   853541
    3637 :   857178
    3643 :   860821
    3659 :   864480
    3671 :   868151 - primesum
    3673 :   871824
    3677 :   875501
    3691 :   879192
    3697 :   882889
    3701 :   886590
    3709 :   890299
    3719 :   894018
    3727 :   897745
    3733 :   901478
    3739 :   905217
    3761 :   908978
    3767 :   912745
    3769 :   916514
    3779 :   920293
    3793 :   924086
    3797 :   927883
    3803 :   931686
    3821 :   935507 - primesum
    3823 :   939330
    3833 :   943163
    3847 :   947010
    3851 :   950861
    3853 :   954714
    3863 :   958577 - primesum
    3877 :   962454
    3881 :   966335
    3889 :   970224
    3907 :   974131
    3911 :   978042
    3917 :   981959
    3919 :   985878
    3923 :   989801
    3929 :   993730
    3931 :   997661
    3943 :  1001604 - primesum
    3947 :  1005551 - primesum
    3967 :  1009518 - primesum
    3989 :  1013507
    4001 :  1017508 - primesum
    4003 :  1021511
    4007 :  1025518 - primesum
    4013 :  1029531
    4019 :  1033550 - primesum
    4021 :  1037571
    4027 :  1041598 - primesum
    4049 :  1045647
    4051 :  1049698 - primesum
    4057 :  1053755
    4073 :  1057828 - primesum
    4079 :  1061907
    4091 :  1065998 - primesum
    4093 :  1070091
    4099 :  1074190 - primesum
    4111 :  1078301
    4127 :  1082428 - primesum
    4129 :  1086557 - primesum
    4133 :  1090690 - primesum
    4139 :  1094829
    4153 :  1098982 - primesum
    4157 :  1103139
    4159 :  1107298 - primesum
    4177 :  1111475
    4201 :  1115676 - primesum
    4211 :  1119887
    4217 :  1124104 - primesum
    4219 :  1128323
    4229 :  1132552 - primesum
    4231 :  1136783
    4241 :  1141024 - primesum
    4243 :  1145267
    4253 :  1149520 - primesum
    4259 :  1153779
    4261 :  1158040 - primesum
    4271 :  1162311
    4273 :  1166584 - primesum
    4283 :  1170867
    4289 :  1175156 - primesum
    4297 :  1179453
    4327 :  1183780 - primesum
    4337 :  1188117
    4339 :  1192456 - primesum
    4349 :  1196805
    4357 :  1201162 - primesum
    4363 :  1205525
    4373 :  1209898 - primesum
    4391 :  1214289
    4397 :  1218686 - primesum
    4409 :  1223095
    4421 :  1227516 - primesum
    4423 :  1231939
    4441 :  1236380 - primesum
    4447 :  1240827
    4451 :  1245278 - primesum
    4457 :  1249735
